"Latitude","Longitude","Code de l'entité","Libellé","Surface de bassin versant hydrologique (km²)","Surface de bassin versant topographique (km²)","Débit (m³/s)","Intervalle de confiance","Taille de l'échantillon"
"49.0787228","0.0747851","I1350001","La Vie à Grandchamp-le-Château","318","318","","0.95","1"
"49.0787228","0.0747851","I135000101","La Vie à Grandchamp-le-Château","318","318","","0.95","1"
"49.2857448","-0.111774","I1570001","La Dives à Cabourg","","1779","","0.95","0"
"49.2857448","-0.111774","I157000101","La Dives à Cabourg","","1779","","0.95","0"
"48.8149085","0.0743568","I2001010","La Dives à Saint-Lambert-sur-Dive","","87","5.32","0.95","43"
"48.8149085","0.0743568","I200101001","La Dives à Saint-Lambert-sur-Dive","","87","5.32","0.95","43"
"48.6266379","0.1321098","I2001011","L'Orne à Belfonds","","53","","0.95","6"
"48.6266379","0.1321098","I200101101","L'Orne à Belfonds","","53","","0.95","6"
"48.8969084","-0.0765051","I2021010","La Dives à Beaumais","","281","9.35","0.95","53"
"48.8969084","-0.0765051","I202101001","La Dives à Beaumais","","281","9.35","0.95","53"
"48.9114007","-0.1600226","I2023410","L'Ante à Eraines","","36.4","","0.95","3"
"48.9114007","-0.1600226","I202341001","L'Ante à Eraines","","36.4","","0.95","3"
"49.0226794","-0.0362889","I2031020","La Dives à Saint-Pierre-sur-Dives","","511","","0.95","0"
"49.0226794","-0.0362889","I203102001","La Dives à Saint-Pierre-sur-Dives","","511","","0.95","0"
"49.0992309","-0.064836","I2051010","Le bras de la Dives [bras rive droite] à Magny-le-Freule","","","","0.95","0"
"49.0992309","-0.064836","I205101001","Le bras de la Dives [bras rive droite] à Magny-le-Freule","","","","0.95","0"
"49.0967338","-0.0625508","I2051020","La Dives [bras rive gauche] à Magny-le-Freule","","","","0.95","0"
"49.0967338","-0.0625508","I205102001","La Dives [bras rive gauche] à Magny-le-Freule","","","","0.95","0"
"49.1170927","-0.0545428","I2051030","La Dives au Mesnil-Mauger et à Biéville-Quétiéville","","652","17.8","0.95","48"
"49.1170927","-0.0545428","I205103001","La Dives à Biéville-Quétiéville","","652","19.9","0.95","18"
"49.0690185","-0.0441924","I205103002","La Dives au Mesnil-Mauger","","652","16.7","0.95","30"
"48.9042061","0.2122679","I2102010","La Vie à Guerquesalles [Les Longs Champs]","","68.3","4.15","0.95","24"
"48.9042061","0.2122679","I210201001","La Vie à Guerquesalles [Les Longs Champs]","","68.3","4.15","0.95","24"
"49.1373554","-0.031425","I2162010","La Vie à Corbon","","434","","0.95","0"
"49.1373554","-0.031425","I216201001","La Vie à Corbon","","434","","0.95","4"
"49.1488785","-0.0649083","I2201010","La Dives à Méry-Corbon [2]","","1090","","0.95","0"
"49.1488785","-0.0649083","I220101001","La Dives à Méry-Corbon [2]","","1090","","0.95","2"
"49.1639143","-0.0167912","I2203110","Le canal de la Dorette à Victot-Pontfol","","66","","0.95","0"
"49.1639143","-0.0167912","I220311001","Le canal de la Dorette à Victot-Pontfol","","66","3.49","0.95","8"
